hero,category,ability_name,hotkey_or_tier,field,value
Li Li,abilities,Water Dragon,R,icon,Water_Dragon_Icon.png
Li Li,abilities,Water Dragon,R,description,"Li Li channels for 2 seconds, summoning a Water Dragon that hits the nearest enemy Hero within 12 range and all enemies near them, dealing 300 damage and slowing their Movement Speed by 70% for 4 seconds.; 50; 60; heroic"
Li Li,abilities,Water Dragon,R,type,"Spell Damage, Crowd control"
Li Li,abilities,Water Dragon,R,scaling,4.00%
Li Li,abilities,Water Dragon,R,affects,Enemy Heroes / Enemies (splash)
Li Li,abilities,Water Dragon,R,target,Automatic (closest)
Li Li,abilities,Water Dragon,R,props,"Slow, Splash"
Li Li,abilities,Water Dragon,R,cast,Instant
Li Li,abilities,Water Dragon,R,range,12
Li Li,abilities,Water Dragon,R,radius,3.0 (splash)
Li Li,abilities,Water Dragon,R,notes,"Ability is disabled if there are no valid targets in range. After activating Water Dragon, Li Li's Basic Abilities are disabled and she cannot attack for 0.5 seconds. She can, however, still use Active Abilities gained from her Talents. Water Dragon is only interrupted if Li Li dies while casting it. The target is chosen at the end of the 2 second delay. If no targets are within the range at this moment the ability will not fire and goes on full cooldown. After the 2 second targeting period, there is an additional 0.4 second delay before the Water Dragon impacts. Li Li gains vision over the current target of Water Dragon during the targeting period, and for 1 second after it impacts."
Li Li,talents,Free Drinks,1,icon,Free_Drinks_Icon.png
Li Li,talents,Free Drinks,1,description,Healing Brew's cooldown is reduced by 1 second and its Mana cost is refunded if it heals a Hero under 50% Health.
Li Li,talents,Free Drinks,1,slot,1
Li Li,talents,Free Drinks,1,nohr,1
Li Li,talents,Free Drinks,1,notes,The cooldown Reduction can apply multiple times per cast if combined with Two for One.
Li Li,talents,Serpent Sidekick,1,icon,Serpent_Sidekick_Icon.png
Li Li,talents,Serpent Sidekick,1,description,Cloud Serpent no longer costs Mana and while Fast Feet is active its cooldown refreshes an additional 75% faster.
Li Li,talents,Serpent Sidekick,1,slot,2
Li Li,talents,Serpent Sidekick,1,nohr,1
Li Li,talents,Serpent Sidekick,1,notes,Reduces Cloud Serpent 's cooldown by an additional 0.1875 seconds each tick of Fast Feet.
Li Li,talents,Eager Adventurer,1,icon,Eager_Adventurer_Icon.png
Li Li,talents,Eager Adventurer,1,description,Increase Fast Feet's duration by 150% and increase Mana regeneration by 150% while Fast Feet is active.
Li Li,talents,Eager Adventurer,1,slot,3
Li Li,talents,Wind Serpent,2,icon,Wind_Serpent_Icon.png
Li Li,talents,Wind Serpent,2,description,Cloud Serpent grants its bearer 10% increased Movement Speed. Casting Blinding Wind increases this bonus to 20% for 2 seconds. Passive Cloud Serpent attacks 25% faster.
Li Li,talents,Wind Serpent,2,slot,1
Li Li,talents,Wind Serpent,2,type,Status effect
Li Li,talents,Wind Serpent,2,scaling,4.00%
Li Li,talents,Wind Serpent,2,affects,"Allied Heroes, Self"
Li Li,talents,Wind Serpent,2,props,Movement Speed
Li Li,talents,Wind Serpent,2,notes,"Actually reduces the attack period of Cloud Serpent by 25%, resulting in a 33% increase in its Attack Speed."
Li Li,talents,Surging Winds,2,icon,Surging_Winds_Icon.png
Li Li,talents,Surging Winds,2,description,"If Blinding Wind hits 2 Heroes, its cooldown is reduced by 2 seconds and Li Li gains 10% Spell Power for 10 seconds."
Li Li,talents,Surging Winds,2,slot,2
Li Li,talents,Surging Winds,2,type,"Healing dealt modifier, Offensive damage modifier"
Li Li,talents,Surging Winds,2,affects,Self
Li Li,talents,Surging Winds,2,notes,Spell Power from Surging Winds does not stack with itself. Subsequent applications refresh the duration. Spell Power from Surging Winds stacks additively with other sources of Spell Power as well as other offensive damage modifiers and healing dealt modifiers affecting the target Hero.
Li Li,talents,Safety Sprint,2,icon,Safety_Sprint_Icon.png
Li Li,talents,Safety Sprint,2,description,"Cooldown 30 Activate to gain Fast Feet, 30 Armor, and 30% Movement Speed for 3 seconds. Passive While Fast Feet is active, Li Li gains 10 Armor."
Li Li,talents,Safety Sprint,2,slot,3
Li Li,talents,Safety Sprint,2,type,"Defensive damage modifier, Status effect"
Li Li,talents,Safety Sprint,2,affects,Self
Li Li,talents,Safety Sprint,2,target,No target
Li Li,talents,Safety Sprint,2,props,"Armor, Movement Speed"
Li Li,talents,Safety Sprint,2,cast,Instant
Li Li,talents,Safety Sprint,2,notes,Does not stack with base Movement Speed bonus from Fast Feet. Does not stack with itself or other positive Armor effects. Other defensive damage modifiers may stack.
Li Li,talents,The Good Stuff,3,icon,The_Good_Stuff_Icon.png
Li Li,talents,The Good Stuff,3,description,"Healing Brew heals for an additional 42 over 3 seconds. While Fast Feet is active, this heal amount is increased by 100%."
Li Li,talents,The Good Stuff,3,slot,1
Li Li,talents,The Good Stuff,3,type,Healing
Li Li,talents,The Good Stuff,3,scaling,4.00%
Li Li,talents,The Good Stuff,3,affects,"Allied Heroes, Self"
Li Li,talents,The Good Stuff,3,props,Heal over time
Li Li,talents,The Good Stuff,3,tickrate,2.0 per second (x6)
Li Li,talents,The Good Stuff,3,prop2,Heal per tick
Li Li,talents,The Good Stuff,3,val2,7
Li Li,talents,The Good Stuff,3,notes,"Fast Feet bonus directly affects the base value, causing the bonus percentage to stack multiplicatively with healing dealt modifiers that can affect healing from The Good Stuff."
Li Li,talents,Mass Vortex,3,icon,Mass_Vortex_Icon.png
Li Li,talents,Mass Vortex,3,description,Increase the number of enemies hit by Blinding Wind from 2 to 3. Blinding Wind deals 75% additional damage if all 3 enemies hit are Heroes.
Li Li,talents,Mass Vortex,3,slot,2
Li Li,talents,Mass Vortex,3,type,Offensive damage modifier
Li Li,talents,Mass Vortex,3,affects,Ability
Li Li,talents,Mass Vortex,3,notes,All wind clouds do not need to impact. It is enough that all of the targeted enemies from the cast are Heroes to gain the damage bonus. Damage bonus stacks additively with other offensive damage modifiers that can affect Blinding Wind 's damage.
Li Li,talents,Let's Go!,3,icon,Let's_Go!_Icon.png
Li Li,talents,Let's Go!,3,description,cooldown 40 Active Activate to heal an allied Hero for 160 and make them Unstoppable for 1 second. Let's Go's cooldown is affected by Fast Feet. yellowtext Cannot be used on Li Li.
Li Li,talents,Let's Go!,3,slot,4
Li Li,talents,Let's Go!,3,type,"Healing, Status effect"
Li Li,talents,Let's Go!,3,scaling,4.00%
Li Li,talents,Let's Go!,3,affects,Allied Heroes
Li Li,talents,Let's Go!,3,target,Unit target
Li Li,talents,Let's Go!,3,props,Unstoppable
Li Li,talents,Let's Go!,3,cast,Instant
Li Li,talents,Let's Go!,3,range,7.5
Li Li,talents,Let's Go!,3,notes,Cooldown is reduced by 0.125 seconds every 0.25 seconds while Fast Feet is active.
Li Li,talents,"Jug of 1,000 Cups",4,icon,"Jug_of_1,000_Cups_Icon.png"
Li Li,talents,"Jug of 1,000 Cups",4,description,"Cooldown 20 Channel for up to 6 seconds. Every 0.25 seconds, increase the cooldown of Jug of 1,000 Cups by 2 seconds, up to 50 additional seconds, and heal the lowest Health nearby allied Hero for 75 Health."
Li Li,talents,"Jug of 1,000 Cups",4,slot,1
Li Li,talents,Water Dragon,4,icon,Water_Dragon_Icon.png
Li Li,talents,Water Dragon,4,description,"Cooldown 50 Li Li channels for 2 seconds, summoning a Water Dragon that hits the nearest enemy Hero within 12 range and all enemies near them, dealing 300 damage and slowing their Movement Speed by 70% for 4 seconds."
Li Li,talents,Water Dragon,4,slot,2
Li Li,talents,Lightning Serpent,5,icon,Lightning_Serpent_Icon.png
Li Li,talents,Lightning Serpent,5,description,Cloud Serpent attacks bounce to hit 2 additional targets for 13 damage and 10 healing.
Li Li,talents,Lightning Serpent,5,slot,1
Li Li,talents,Lightning Serpent,5,type,Spell Damage / Healing
Li Li,talents,Lightning Serpent,5,scaling,4.00%
Li Li,talents,Lightning Serpent,5,affects,"Enemies / Allied Heroes, Self"
Li Li,talents,Lightning Serpent,5,target,Automatic
Li Li,talents,Lightning Serpent,5,props,Bounce
Li Li,talents,Lightning Serpent,5,prop3,Bounce range
Li Li,talents,Lightning Serpent,5,val3,5.0
Li Li,talents,Lightning Serpent,5,notes,"Bounces chain, and cannot hit the same target, including the primary target of Cloud Serpent's attack, more than once."
Li Li,talents,Gale Force,5,icon,Gale_Force_Icon.png
Li Li,talents,Gale Force,5,description,Increase Blinding Wind's duration by 0.75 seconds. Li Li's Basic Attacks against Blinded Heroes deal 100% increased damage.
Li Li,talents,Gale Force,5,slot,2
Li Li,talents,Gale Force,5,type,Offensive damage modifier
Li Li,talents,Gale Force,5,affects,Self
Li Li,talents,Gale Force,5,props,Attack Modifier
Li Li,talents,Gale Force,5,notes,Interacts with Blinds from any source. Damage bonus stacks additively with other offensive damage modifiers that can affect Li Li's Basic attack damage.
Li Li,talents,Hindering Winds,5,icon,Hindering_Winds_Icon.png
Li Li,talents,Hindering Winds,5,description,Increase Blinding Wind's Slow amount to 30% and its duration to 2 seconds.
Li Li,talents,Hindering Winds,5,slot,3
Li Li,talents,Two For One,6,icon,Two_For_One_Icon.png
Li Li,talents,Two For One,6,description,"Increases the number of allies healed by Healing Brew to 2, but increases the cooldown by 1 second."
Li Li,talents,Two For One,6,slot,1
Li Li,talents,Pick Me Up,6,icon,Pick_Me_Up_Icon.png
Li Li,talents,Pick Me Up,6,description,Healing Brew's healing for Heroes is increased by 33% if they are under 50% Health.
Li Li,talents,Pick Me Up,6,slot,2
Li Li,talents,Pick Me Up,6,type,Bonus Healing
Li Li,talents,Pick Me Up,6,scaling,4.00%
Li Li,talents,Pick Me Up,6,affects,"Allied Heroes, Self"
Li Li,talents,Pick Me Up,6,prop1,Pick Me Up healing
Li Li,talents,Pick Me Up,6,val1,233.33
Li Li,talents,Pick Me Up,6,notes,"Does not interact with heal over time from The Good Stuff. Pick Me Up directly affects the base value of Healing Brew, causing the bonus percentage to stack multiplicatively with healing dealt modifiers that can affect its healing."
Li Li,talents,Blessings of Yu'lon,6,icon,Blessings_of_Yu'lon_Icon.png
Li Li,talents,Blessings of Yu'lon,6,description,Cloud Serpent grants its bearer 10% increased healing received and heals them for an additional 0.5% of their maximum Health each time it attacks.
Li Li,talents,Blessings of Yu'lon,6,slot,3
Li Li,talents,Blessings of Yu'lon,6,type,"Healing received modifier, Healing"
Li Li,talents,Blessings of Yu'lon,6,scaling,-
Li Li,talents,Blessings of Yu'lon,6,affects,"Allied Heroes, Self"
Li Li,talents,Blessings of Yu'lon,6,notes,Bouncing attacks from Lightning Serpent do not grant additional healing. Healing amplification stacks additively with other healing received modifiers.
Li Li,talents,"Jug of 1,000,000 Cups",7,icon,"Jug_of_1,000,000_Cups_Icon.png"
Li Li,talents,"Jug of 1,000,000 Cups",7,description,"Jug of 1,000 Cups heals two allies at a time."
Li Li,talents,"Jug of 1,000,000 Cups",7,slot,1
Li Li,talents,Double Dragon,7,icon,Double_Dragon_Icon.png
Li Li,talents,Double Dragon,7,description,"After hitting a target with Water Dragon, another Water Dragon is summoned at the point of impact."
Li Li,talents,Double Dragon,7,slot,2
Li Li,talents,Double Dragon,7,nohr,1
Li Li,talents,Double Dragon,7,notes,"Secondary cast is independent of Li Li's status or position and goes off even if she is dead, otherwise it has the same properties as the primary cast."
Li Li,talents,Mistweaver,7,icon,Mistweaver_Icon.png
Li Li,talents,Mistweaver,7,description,Cooldown 30 Active Activate to heal nearby allied Heroes for 149. Basic Attacks and Cloud Serpent attacks reduce the cooldown of Mistweaver by 1 second.
Li Li,talents,Mistweaver,7,slot,3
Li Li,talents,Mistweaver,7,type,Healing
Li Li,talents,Mistweaver,7,scaling,4.00%
Li Li,talents,Mistweaver,7,affects,"Allied Heroes, Self"
Li Li,talents,Mistweaver,7,target,No target
Li Li,talents,Mistweaver,7,props,Area of Effect
Li Li,talents,Mistweaver,7,cast,Instant
Li Li,talents,Mistweaver,7,radius,8.0
Li Li,talents,Mistweaver,7,notes,Bouncing Attacks from Lightning Serpent do not grant additional cooldown reduction.
Li Li,talents,Shake It Off,7,icon,Shake_It_Off_Icon.png
Li Li,talents,Shake It Off,7,description,"While Stunned, Silenced, or Rooted and for 2 seconds afterwards, Li Li gains 35 Armor. Passive Increase Fast Feet's cooldown refresh rate to 75%."
Li Li,talents,Shake It Off,7,slot,4
Li Li,talents,Shake It Off,7,type,Defensive damage modifier
Li Li,talents,Shake It Off,7,affects,Self
Li Li,talents,Shake It Off,7,props,Armor
Li Li,talents,Shake It Off,7,notes,Causes Fast Feet to reduce cooldowns by an additional 0.0625 seconds every 0.25 seconds it is active. Does not stack with other positive Armor effects. Other defensive damage modifiers may stack.
Lt. Morales,abilities,Caduceus Reactor,TRAIT,icon,Caduceus_Reactor_Icon.png
Lt. Morales,abilities,Caduceus Reactor,TRAIT,description,"While channeling Healing Beam, Lt. Morales regenerates 2% of her maximum Health per second.; trait"
Lt. Morales,abilities,Caduceus Reactor,TRAIT,type,Healing
Lt. Morales,abilities,Caduceus Reactor,TRAIT,scaling,-
Lt. Morales,abilities,Caduceus Reactor,TRAIT,affects,Self
Lt. Morales,abilities,Caduceus Reactor,TRAIT,tickrate,1.0 per second
Lt. Morales,abilities,Caduceus Reactor,TRAIT,notes,"Lt. Morales uses Energy instead of Mana as a resource. Morales has 100 max Energy, which regenerates at 6 Energy per second while not using Healing Beam."
Lt. Morales,abilities,Healing Beam,Q,icon,Healing_Beam_Icon.png
Lt. Morales,abilities,Healing Beam,Q,description,"Heal target ally for 172 Health per second as long as they are in range. After not channeling Healing Beam for 2 seconds, regenerate 6 Energy per second. Reactivate to switch targets. Self-cast or activate your Trait to cancel the channel."
Lt. Morales,abilities,Healing Beam,Q,type,Healing
Lt. Morales,abilities,Healing Beam,Q,scaling,4.00%
Lt. Morales,abilities,Healing Beam,Q,affects,Non-Structure allies
Lt. Morales,abilities,Healing Beam,Q,target,Unit target
Lt. Morales,abilities,Healing Beam,Q,props,Mobile channel
Lt. Morales,abilities,Healing Beam,Q,cast,Instant
Lt. Morales,abilities,Healing Beam,Q,cast range,6.5
Lt. Morales,abilities,Healing Beam,Q,channel range,8.25
Lt. Morales,abilities,Healing Beam,Q,tickrate,2.0 per second (heal & energy gain)
Lt. Morales,abilities,Healing Beam,Q,prop1,Heal per tick
Lt. Morales,abilities,Healing Beam,Q,val1,86
Lt. Morales,abilities,Healing Beam,Q,prop2,Energy recovery per tick
Lt. Morales,abilities,Healing Beam,Q,val2,3.0
Lt. Morales,abilities,Healing Beam,Q,notes,"Consumes no energy, but still triggers Caduceus Reactor , when held on a full Health target. Healing Beam goes on cooldown for 2 seconds when interrupted by enemies, 0.5 seconds when switching target, 0.5 seconds when canceling it within 0.5 seconds from the beginning of the channel, and 0 seconds when canceling it after 0.5 seconds from the beginning of the channel. Lt. Morales can attack and use her Abilities without interrupting Healing Beam. Consumes 3 Energy per Healing tick while activated. Healing Beam is able to heal Minions."
Lt. Morales,abilities,Healing Beam,Q,cooldown,0.5
Lt. Morales,abilities,Healing Beam,Q,cost,6
Lt. Morales,abilities,Redirect Healing Beam,Q,icon,Redirect_Healing_Beam_Icon.png
Lt. Morales,abilities,Redirect Healing Beam,Q,description,Redirect Healing Beam to another target. Use on self to cancel channeling.
Lt. Morales,abilities,Redirect Healing Beam,Q,type,Healing
Lt. Morales,abilities,Redirect Healing Beam,Q,scaling,4.00%
Lt. Morales,abilities,Redirect Healing Beam,Q,affects,Non-Structure allies
Lt. Morales,abilities,Redirect Healing Beam,Q,target,Unit Target
Lt. Morales,abilities,Redirect Healing Beam,Q,props,Mobile channel
Lt. Morales,abilities,Redirect Healing Beam,Q,cast,Instant
Lt. Morales,abilities,Redirect Healing Beam,Q,cast range,6.5
Lt. Morales,abilities,Redirect Healing Beam,Q,cooldown,0.5
Lt. Morales,abilities,Safeguard,W,icon,Safeguard_Icon.png
Lt. Morales,abilities,Safeguard,W,description,Grant target ally Hero 35 Armor for 3 seconds.
Lt. Morales,abilities,Safeguard,W,type,Defensive damage modifier
Lt. Morales,abilities,Safeguard,W,affects,Allied Heroes
Lt. Morales,abilities,Safeguard,W,target,Unit target
Lt. Morales,abilities,Safeguard,W,cast,Instant
Lt. Morales,abilities,Safeguard,W,range,7.5
Lt. Morales,abilities,Safeguard,W,notes,Does not stack with itself or other positive Armor effects except Garrosh's Trait. Other defensive damage modifiers may stack
Lt. Morales,abilities,Safeguard,W,cooldown,11
Lt. Morales,abilities,Displacement Grenade,E,icon,Displacement_Grenade_Icon.png
Lt. Morales,abilities,Displacement Grenade,E,description,"Fire a grenade that can be manually detonated, dealing 208 damage to nearby enemies and knocking them away."
Lt. Morales,abilities,Displacement Grenade,E,type,Spell Damage
Lt. Morales,abilities,Displacement Grenade,E,scaling,4.00%
Lt. Morales,abilities,Displacement Grenade,E,affects,Enemies
Lt. Morales,abilities,Displacement Grenade,E,target,Point target
Lt. Morales,abilities,Displacement Grenade,E,props,"Area of Effect, Knockback, Skillshot"
Lt. Morales,abilities,Displacement Grenade,E,cast,0.1875 + 0.0625 seconds
Lt. Morales,abilities,Displacement Grenade,E,range,13.5
Lt. Morales,abilities,Displacement Grenade,E,radius,2.25
Lt. Morales,abilities,Displacement Grenade,E,prop1,Missile speed
Lt. Morales,abilities,Displacement Grenade,E,val1,22.5
Lt. Morales,abilities,Displacement Grenade,E,prop2,Knockback duration
Lt. Morales,abilities,Displacement Grenade,E,val2,0.25
Lt. Morales,abilities,Displacement Grenade,E,prop3,Knockback speed
Lt. Morales,abilities,Displacement Grenade,E,val3,16
Lt. Morales,abilities,Displacement Grenade,E,prop4,Reactivate
Lt. Morales,abilities,Displacement Grenade,E,val4,"Detonate Displacement Grenade - Detonate Displacement Grenade, dealing 208 damage to nearby enemies and knocking them away."
Lt. Morales,abilities,Displacement Grenade,E,notes,Grenade detonates automatically at maximum range.
Lt. Morales,abilities,Displacement Grenade,E,cooldown,12
Lt. Morales,abilities,Stim Drone,R,icon,Stim_Drone_Icon.png
Lt. Morales,abilities,Stim Drone,R,description,Grant an allied Hero 75% Attack Speed and 25% Movement Speed for 10 seconds.; 70; heroic
Lt. Morales,abilities,Stim Drone,R,type,Status effect
Lt. Morales,abilities,Stim Drone,R,affects,Allied Heroes
Lt. Morales,abilities,Stim Drone,R,target,Unit target
Lt. Morales,abilities,Stim Drone,R,props,"Attack Speed buff, Channeled cast (stationary), Movement Speed buff"
Lt. Morales,abilities,Stim Drone,R,cast,0.5(ch) + 0 seconds
Lt. Morales,abilities,Stim Drone,R,range,6.0
Lt. Morales,abilities,Stim Drone,R,notes,Interrupting the Ability during its cast puts it on a 10 second cooldown. Cast is interrupted if the target moves over 10 range beyond the Ability's maximum range before the channel has finished.
Lt. Morales,abilities,Medivac Dropship,R,icon,Medivac_Dropship_Icon.png
Lt. Morales,abilities,Medivac Dropship,R,description,"Target a location for a Medivac transport. For up to 10 seconds before takeoff, allies can right-click to enter the Medivac. Medivac Dropship ; 45; heroic"
Lt. Morales,abilities,Medivac Dropship,R,type,Passive
Lt. Morales,abilities,Medivac Dropship,R,target,Point target
Lt. Morales,abilities,Medivac Dropship,R,props,Unstoppable
Lt. Morales,abilities,Medivac Dropship,R,cast,1.0 (ch) + 0.25 seconds
Lt. Morales,abilities,Medivac Dropship,R,range,"- Min: 11 - Max: 100 Selecting Medivac Dropship also unlocks Reinforcements Ability, which shares a cooldown with it. Interrupting the Ability during its cast puts it on a 10 second cooldown. Must be cast on pathable surface. Lt. Morales is automatically put in the dropship once the cast finishes. Allies that enter Dropship cannot leave manually. All Heroes inside are ejected automatically when Dropship reaches its destination or is destroyed. Upon successfully casting Medivac Dropship, Lt. Morales gains access to Depart Ability, which can be cast after 3 seconds to immediately launch toward the target location. The dropship departs automatically after 10 seconds. Heroes that have entered the dropship cannot leave until it arrives to its target location. Heroes inside the dropship are put in Stasis, removed from ground plane (disjoints certain projectiles) and have no collision. Enemies can attack the dropship. If the dropship is destroyed, the Heroes inside it will be immediately ejected and Stunned for 0.5 seconds."
Lt. Morales,abilities,Medivac Dropship,R,nohr,true
Lt. Morales,abilities,Medivac Dropship,R,scaling,4.00% (Health)
Lt. Morales,abilities,Medivac Dropship,R,prop1,Health
Lt. Morales,abilities,Medivac Dropship,R,val1,955.8
Lt. Morales,abilities,Medivac Dropship,R,prop2,Basic Attack damage
Lt. Morales,abilities,Medivac Dropship,R,val2,-
Lt. Morales,abilities,Medivac Dropship,R,prop5,Movement Speed
Lt. Morales,abilities,Medivac Dropship,R,val5,28
Lt. Morales,abilities,Medivac Dropship,R,prop6,Unit radius
Lt. Morales,abilities,Medivac Dropship,R,val6,0.75
Lt. Morales,abilities,Medivac Dropship,R,prop7,Sight radius
Lt. Morales,abilities,Medivac Dropship,R,val7,8.0
Lt. Morales,abilities,Medivac Dropship,R,notes,Dropship is Unstoppable and has no collision.
Lt. Morales,abilities,Medivac Dropship - Depart,E,description,Departs for the target location immediately.; 0.5; heroic
Lt. Morales,abilities,Medivac Dropship - Depart,E,target,No target
Lt. Morales,abilities,Medivac Dropship - Depart,E,cast,Instant
Lt. Morales,abilities,Medivac Dropship - Depart,E,notes,Starts on a 3 second cooldown upon successfully casting Medivac Dropship or Reinforcements.
Lt. Morales,abilities,Medivac Dropship - Reinforcements,1,icon,Reinforcements_Icon.png
Lt. Morales,abilities,Medivac Dropship - Reinforcements,1,description,"Call down a Medivac Dropship at your Hall of Storms for your allies. After 10 seconds, or when the Ability is activated again, the Medivac will travel to its original cast location to unload its passengers.; 45 / 3.0; heroic"
Lt. Morales,abilities,Medivac Dropship - Reinforcements,1,type,Summon
Lt. Morales,abilities,Medivac Dropship - Reinforcements,1,target,No target
Lt. Morales,abilities,Medivac Dropship - Reinforcements,1,props,Channeled cast (stationary)
Lt. Morales,abilities,Medivac Dropship - Reinforcements,1,cast,1.0 (ch) + 0.25 seconds
Lt. Morales,abilities,Medivac Dropship - Reinforcements,1,notes,Shares cooldown with Medivac Dropship. Can be recast after 3 seconds to depart immediately. Cannot be cast while within the mines on Haunted Mines.
Lt. Morales,talents,Caduceus Feedback,1,icon,Caduceus_Feedback_Icon.png
Lt. Morales,talents,Caduceus Feedback,1,description,"Increase Attack Range by 1.1, and Basic Attacks against Heroes generate 4 Energy."
Lt. Morales,talents,Caduceus Feedback,1,slot,1
Lt. Morales,talents,Caduceus Feedback,1,props,Attack Modifier
Lt. Morales,talents,Life Support,1,icon,Healing_Beam_Icon.png
Lt. Morales,talents,Life Support,1,description,During the first 2 seconds of Energy regeneration Healing Beam regenerates 100% more Energy. Passive Increase your maximum Energy by 10.
Lt. Morales,talents,Life Support,1,slot,2
Lt. Morales,talents,Clear!,1,icon,Clear!_Icon.png
Lt. Morales,talents,Clear!,1,description,"Quest Each Hero hit with Displacement Grenade restores 3 Energy. After hitting 15 Heroes, reduce the cooldown of Displacement Grenade from 12 seconds to 9 seconds. Reward After hitting 30 Heroes, increase the detonation area of Displacement Grenade by 25%."
Lt. Morales,talents,Clear!,1,slot,3
Lt. Morales,talents,Clear!,1,prop1,Bonus radius
Lt. Morales,talents,Clear!,1,val1,0.5625
Lt. Morales,talents,Cellular Reactor,2,icon,Cellular_Reactor_Icon.png
Lt. Morales,talents,Cellular Reactor,2,description,"Cooldown 20 Active Consume 30 Energy to heal Lt. Morales for 30% of her maximum Health over 3 seconds. Caduceus Reactor is disabled while this is active. Passive Generate 2 Energy each time Safeguard reduces damage, up to a maximum of 10 Energy per use."
Lt. Morales,talents,Cellular Reactor,2,slot,1
Lt. Morales,talents,Cellular Reactor,2,type,Healing
Lt. Morales,talents,Cellular Reactor,2,scaling,-
Lt. Morales,talents,Cellular Reactor,2,affects,Self
Lt. Morales,talents,Cellular Reactor,2,target,No target
Lt. Morales,talents,Cellular Reactor,2,props,Heal over time
Lt. Morales,talents,Cellular Reactor,2,cast,Instant
Lt. Morales,talents,Cellular Reactor,2,tickrate,2.0 per second (x6)
Lt. Morales,talents,Trauma Trigger,2,icon,Trauma_Trigger_Icon.png
Lt. Morales,talents,Trauma Trigger,2,description,Gain 40 Armor for 3 seconds if damage is taken while below 40% Health. This effect has a 30 second cooldown. Increase the healing provided by Caduceus Reactor from 2% to 4% of Lt. Morales's maximum Health per second.
Lt. Morales,talents,Trauma Trigger,2,slot,2
Lt. Morales,talents,Trauma Trigger,2,type,Defensive damage modifier
Lt. Morales,talents,Trauma Trigger,2,affects,Self
Lt. Morales,talents,Trauma Trigger,2,props,Armor
Lt. Morales,talents,Trauma Trigger,2,notes,Does not stack with other positive Armor effects. Other defensive damage modifiers may stack.
Lt. Morales,talents,Blast Shield,2,icon,Blast_Shield_Icon.png
Lt. Morales,talents,Blast Shield,2,description,Heroes hit by Displacement Grenade are Slowed by 50% for 1 second after being knocked away and grant Lt. Morales a Shield equal to 6% of her maximum Health. This Shield stacks up to 5 times.
Lt. Morales,talents,Blast Shield,2,slot,3
Lt. Morales,talents,Blast Shield,2,type,Shield
Lt. Morales,talents,Blast Shield,2,scaling,-
Lt. Morales,talents,Blast Shield,2,affects,Self
Lt. Morales,talents,Physical Therapy,3,icon,Physical_Therapy_Icon.png
Lt. Morales,talents,Physical Therapy,3,description,Safeguard removes all Slows from its target and its cooldown is reduced by 3 seconds.
Lt. Morales,talents,Physical Therapy,3,slot,1
Lt. Morales,talents,Physical Therapy,3,props,CC removal (Slow)
Lt. Morales,talents,Vanadium Plating,3,icon,Vanadium_Plating_Icon.png
Lt. Morales,talents,Vanadium Plating,3,description,"While an ally affected by Safeguard is Stunned or Rooted, Safeguard grants an additional 20 Armor. Passive Increase the duration of Safeguard by 1 second."
Lt. Morales,talents,Vanadium Plating,3,slot,2
Lt. Morales,talents,Medi-Drone,3,icon,Medi-Drone_Icon.png
Lt. Morales,talents,Medi-Drone,3,description,Allies with Safeguard receive 75% of the healing done by Healing Beam on another ally.
Lt. Morales,talents,Medi-Drone,3,slot,3
Lt. Morales,talents,Medi-Drone,3,type,Healing
Lt. Morales,talents,Medi-Drone,3,scaling,4.00%
Lt. Morales,talents,Medi-Drone,3,affects,"Allied Heroes, Self"
Lt. Morales,talents,Medi-Drone,3,tickrate,2.0 per second
Lt. Morales,talents,Medi-Drone,3,prop1,Heal per tick
Lt. Morales,talents,Medi-Drone,3,val1,64.5
Lt. Morales,talents,Medi-Drone,3,notes,"Medi-Drone does not heal if the primary target of Healing Beam is at full Health. Lt. Morales can also benefit from Medi-Drone by using Safeguard on herself. Medi-Drone benefits from the bonus healing from First Responder. Medi-Drone has its own separate base value that is 75% of Healing Beam 's, causing the percentage to stack multiplicatively with healing modifiers and bonus healing effects."
Lt. Morales,talents,Stim Drone,4,icon,Stim_Drone_Icon.png
Lt. Morales,talents,Stim Drone,4,description,Cooldown 70 Grant an allied Hero 75% Attack Speed and 25% Movement Speed for 10 seconds.
Lt. Morales,talents,Stim Drone,4,slot,1
Lt. Morales,talents,Medivac Dropship,4,icon,Medivac_Dropship_Icon.png
Lt. Morales,talents,Medivac Dropship,4,description,"Cooldown 45 Unlock the Medivac Dropship and Reinforcements Abilities. These Abilities share a cooldown. Medivac Dropship Target a location for a Medivac transport. For up to 10 seconds before takeoff, allies can right-click to enter the Medivac. Reinforcements Call down a Medivac Dropship at your Hall of Storms for your allies. After 10 seconds, or when the Ability is activated again, the Medivac will travel to its original cast location to unload its passengers."
Lt. Morales,talents,Medivac Dropship,4,slot,2
Lt. Morales,talents,EMP Grenade,5,icon,EMP_Grenade_Icon.png
Lt. Morales,talents,EMP Grenade,5,description,"Displacement Grenade deals an additional 96 damage over 2 seconds, and up to 400 bonus damage to Shields."
Lt. Morales,talents,EMP Grenade,5,slot,1
Lt. Morales,talents,EMP Grenade,5,type,Spell Damage
Lt. Morales,talents,EMP Grenade,5,scaling,4.00%
Lt. Morales,talents,EMP Grenade,5,affects,Enemies
Lt. Morales,talents,EMP Grenade,5,props,Damage over time
Lt. Morales,talents,EMP Grenade,5,tickrate,2.0 per second (x4)
